charity,ceo,contributions,year,charity_sector,state,fundraising,emp_compensation,emp_number,ceo_basesalary,ceo_extra,year_founded,ceo_year_started,ceo_gender,ceo_last_school,ceo_degree,ceo_school_rank,missing_data,state1,sector1,degree1,gender1,ceo_salary,charity_age,ceo_duration,founder
CDC Foundation,Charles Stokes,38886466,2010,Health,GA,1400438,3531203,43,362258,0,1995,1995,male,Lincoln University,M.Ed.,,,GA,Health,M.Ed.,male,362258,15,15,1
CDC Foundation,Charles Stokes,25659088,2012,Health,GA,1732296,4487628,49,408970,0,1995,1995,male,Lincoln University,M.Ed.,,,GA,Health,M.Ed.,male,408970,17,17,1
CDC Foundation,Charles Stokes,17646412,2011,Health,GA,1725695,3721867,46,425872,0,1995,1995,male,Lincoln University,M.Ed.,,,GA,Health,M.Ed.,male,425872,16,16,1
Armed Services YMCA,William D. French,5522254,2015,Human Services,IL,221768,1366250,13,198758,0,1983,2015,male,Naval War College,M.A.,,,IL,Human Services,M.A.,male,198758,32,0,0
Cancer Research Institute,Jill O'Donnell-Tormey,39640080,2013,Health,NY,1972540,2489544,26,409948,0,1953,1993,female,SUNY Downstate Medical Center,Ph.D,,,NY,Health,Ph.D,female,409948,60,20,0
Cancer Research Institute,Jill O'Donnell-Tormey,27002808,2014,Health,NY,3843334,2831435,23,431238,0,1953,1993,female,SUNY Downstate Medical Center,Ph.D,,,NY,Health,Ph.D,female,431238,61,21,0
Cancer Research Institute,Jill O'Donnell-Tormey,16472823,2012,Health,NY,1575556,2480379,22,420174,0,1953,1993,female,SUNY Downstate Medical Center,Ph.D,,,NY,Health,Ph.D,female,420174,59,19,0
Cancer Research Institute,Jill O'Donnell-Tormey,14808431,2010,Health,NY,1370868,2321319,20,408863,0,1953,1993,female,SUNY Downstate Medical Center,Ph.D,,,NY,Health,Ph.D,female,408863,57,17,0
Cancer Research Institute,Jill O'Donnell-Tormey,14138170,2011,Health,NY,1456585,2225398,21,412959,0,1953,1993,female,SUNY Downstate Medical Center,Ph.D,,,NY,Health,Ph.D,female,412959,58,18,0
National Parks Conservation Association,Theresa Pierno,26023847,2013,Environment,DC,4379259,14727349,198,255889,32077,1919,2013,female,University of Baltimore,B.S.,,,DC,Environment,B.S.,female,287966,94,0,0
African Wildlife Foundation,Patrick Bergin,31585502,2014,Animals,DC,2454154,9628992,44,312416,0,1961,2002,male,University of East Anglia,Ph.D,,,DC,Animals,Ph.D,male,312416,53,12,0
African Wildlife Foundation,Patrick Bergin,26722612,2013,Animals,DC,2184178,9292323,48,310985,0,1961,2002,male,University of East Anglia,Ph.D,,,DC,Animals,Ph.D,male,310985,52,11,0
African Wildlife Foundation,Patrick Bergin,24614325,2010,Animals,DC,1977666,7518680,40,281628,0,1961,2002,male,University of East Anglia,Ph.D,,,DC,Animals,Ph.D,male,281628,49,8,0
African Wildlife Foundation,Patrick Bergin,21999183,2012,Animals,DC,1808485,8180459,50,286880,0,1961,2002,male,University of East Anglia,Ph.D,,,DC,Animals,Ph.D,male,286880,51,10,0
African Wildlife Foundation,Patrick Bergin,19132189,2011,Animals,DC,1804934,7330014,40,341947,0,1961,2002,male,University of East Anglia,Ph.D,,,DC,Animals,Ph.D,male,341947,50,9,0
Pheasants Forever,Howard K. Vincent,52294539,2013,Animals,MN,6109010,12890638,345,277288,0,1982,1990,male,University of Minnesota Duluth,B.S.,,,MN,Animals,B.S.,male,277288,31,23,0
Pheasants Forever,Howard K. Vincent,37975475,2014,Animals,MN,6673514,13920367,340,305008,0,1982,1991,male,University of Minnesota Duluth,B.S.,,,MN,Animals,B.S.,male,305008,32,23,0
Pheasants Forever,Howard K. Vincent,37476901,2012,Animals,MN,4033412,11566830,295,247347,0,1982,1989,male,University of Minnesota Duluth,B.S.,,,MN,Animals,B.S.,male,247347,30,23,0
Pheasants Forever,Howard K. Vincent,30759845,2011,Animals,MN,3813162,10033657,265,238527,0,1982,1988,male,University of Minnesota Duluth,B.S.,,,MN,Animals,B.S.,male,238527,29,23,0
Pheasants Forever,Howard K. Vincent,30273213,2010,Animals,MN,3398374,8494308,232,200958,27876,1982,1987,male,University of Minnesota Duluth,B.S.,,,MN,Animals,B.S.,male,228834,28,23,0
The ALS Association,Jane H. Gilbert,137917563,2015,Health,DC,6023408,6041807,69,219228,0,1985,2009,female,University of Nebraska at Omaha,MBA,,,DC,Health,MBA,female,219228,30,6,0
The ALS Association,Jane H. Gilbert,23517487,2014,Health,DC,3600970,5843475,73,339475,22983,1985,2009,female,University of Nebraska at Omaha,MBA,,,DC,Health,MBA,female,362458,29,5,0
The ALS Association,Jane H. Gilbert,19357009,2013,Health,DC,3030168,5138716,71,297288,22667,1985,2009,female,University of Nebraska at Omaha,MBA,,,DC,Health,MBA,female,319955,28,4,0
The ALS Association,Jane H. Gilbert,19126742,2012,Health,DC,3307795,4865099,63,281250,0,1985,2009,female,University of Nebraska at Omaha,MBA,,,DC,Health,MBA,female,281250,27,3,0
The Arbor Day Foundation,John Rosenow,26861907,2013,Environment,NE,2989436,12010839,552,408377,0,1972,1972,male,University of Santa Monica,M.A.,,,NE,Environment,M.A.,male,408377,41,41,1
The Arbor Day Foundation,John Rosenow,25693581,2010,Environment,NE,3796348,11831775,539,380164,9265,1972,1972,male,University of Santa Monica,M.A.,,,NE,Environment,M.A.,male,389429,38,38,1
The Arbor Day Foundation,John Rosenow,25164299,2012,Environment,NE,3158269,11636873,552,398271,0,1972,1972,male,University of Santa Monica,M.A.,,,NE,Environment,M.A.,male,398271,40,40,1
The Arbor Day Foundation,John Rosenow,24738989,2011,Environment,NE,3135741,11478794,574,386441,0,1972,1972,male,University of Santa Monica,M.A.,,,NE,Environment,M.A.,male,386441,39,39,1
Atlanta Community Food Bank,Bill Bolling,117789293,2014,Human Services,GA,1468407,8941165,165,269056,0,1979,1979,male,University of West Georgia,M.A.,,,GA,Human Services,M.A.,male,269056,35,35,1
Atlanta Community Food Bank,Bill Bolling,97589682,2013,Human Services,GA,1444775,7946899,150,225451,0,1979,1979,male,University of West Georgia,M.A.,,,GA,Human Services,M.A.,male,225451,34,34,1
Atlanta Community Food Bank,Bill Bolling,90757491,2012,Human Services,GA,1486048,7017942,134,212767,0,1979,1979,male,University of West Georgia,M.A.,,,GA,Human Services,M.A.,male,212767,33,33,1
Atlanta Community Food Bank,Bill Bolling,74811614,2011,Human Services,GA,1219883,6174735,114,177137,0,1979,1979,male,University of West Georgia,M.A.,,,GA,Human Services,M.A.,male,177137,32,32,1
Atlanta Community Food Bank,Bill Bolling,72015410,2010,Human Services,GA,1021916,5079791,104,162317,15070,1979,1979,male,University of West Georgia,M.A.,,,GA,Human Services,M.A.,male,177387,31,31,1
Hampton Roads Community Foundation,Angelica Light,10841985,2010,Community Development,VA,490923,1108746,13,201147,0,1950,1999,female,Washington and Lee University,JD,,,VA,Community Development,JD,female,201147,60,11,0
Hampton Roads Community Foundation,Angelica Light,9328389,2011,Community Development,VA,473609,1120558,15,175385,23807,1950,1999,female,Washington and Lee University,JD,,,VA,Community Development,JD,female,199192,61,12,0
