charity,ceo,contributions,year,charity_sector,state,fundraising,emp_compensation,emp_number,ceo_basesalary,ceo_extra,year_founded,ceo_year_started,ceo_gender,ceo_last_school,ceo_degree,ceo_school_rank,missing_data,state1,sector1,degree1,gender1,ceo_salary,charity_age,ceo_duration,founder
Denver Museum of Nature & Science,George Sparks,23920670,2014,Arts & Culture,CO,2963221,19877678,598,365770,0,1900,2004,male,MIT,M.S.,94,,CO,Arts & Culture,M.S.,male,365770,114,10,0
American Museum of Natural History,Ellen V. Futter,204944084,2014,Arts & Culture,NY,6902984,104621320,1586,1472360,0,1869,1993,female,Columbia University,JD,95,,NY,Arts & Culture,JD,female,1472360,145,21,0
American Museum of Natural History,Ellen V. Futter,142407616,2012,Arts & Culture,NY,5861935,99361971,1553,1152444,0,1869,1993,female,Columbia University,JD,95,,NY,Arts & Culture,JD,female,1152444,143,19,0
American Museum of Natural History,Ellen V. Futter,127793960,2011,Arts & Culture,NY,5644518,99511242,1567,1070337,0,1869,1993,female,Columbia University,JD,95,,NY,Arts & Culture,JD,female,1070337,142,18,0
American Museum of Natural History,Ellen V. Futter,122330217,2010,Arts & Culture,NY,5147490,96090760,1608,705028,293859,1869,1993,female,Columbia University,JD,95,,NY,Arts & Culture,JD,female,998887,141,17,0
American Museum of Natural History,Ellen V. Futter,117380680,2013,Arts & Culture,NY,6302380,102813118,1531,1243984,0,1869,1993,female,Columbia University,JD,95,,NY,Arts & Culture,JD,female,1243984,144,20,0
American Red Cross,Gail McGovern,1133413010,2012,Human Services,DC,189430809,1772593711,28973,622361,0,1900,2008,female,Columbia University,MBA,95,,DC,Human Services,MBA,female,622361,112,4,0
American Red Cross,Gail McGovern,1013873120,2010,Human Services,DC,127019240,1694157992,34821,561210,0,1900,2008,female,Columbia University,MBA,95,,DC,Human Services,MBA,female,561210,110,2,0
American Red Cross,Gail McGovern,788226198,2013,Human Services,DC,183222849,1577198700,26613,597961,0,1900,2008,female,Columbia University,MBA,95,,DC,Human Services,MBA,female,597961,113,5,0
American Red Cross,Gail McGovern,741190737,2011,Human Services,DC,172405472,1723401133,31024,628508,0,1900,2008,female,Columbia University,MBA,95,,DC,Human Services,MBA,female,628508,111,3,0
American Red Cross,Gail McGovern,660035659,2014,Human Services,DC,180933909,1524387895,23704,556772,0,1900,2008,female,Columbia University,MBA,95,,DC,Human Services,MBA,female,556772,114,6,0
CancerCare,Helen Miller,17704553,2010,Health,NY,2656672,7774699,126,261877,13783,1944,2010,female,Columbia University,MSW,95,,NY,Health,MSW,female,275660,66,0,0
CancerCare,Helen Miller,14553433,2011,Health,NY,2565958,7578499,154,288381,14297,1944,2010,female,Columbia University,MSW,95,,NY,Health,MSW,female,302678,67,1,0
CancerCare,Helen Miller,14417340,2013,Health,NY,2469475,6483982,119,296333,10283,1944,2010,female,Columbia University,MSW,95,,NY,Health,MSW,female,306616,69,3,0
CancerCare,Helen Miller,12674590,2012,Health,NY,2576109,6808658,138,290310,15280,1944,2010,female,Columbia University,MSW,95,,NY,Health,MSW,female,305590,68,2,0
Gay Men's Health Crisis,Kelsey Louie,23745002,2014,Health,NY,2249427,11003981,210,131335,18174,1982,2013,male,Columbia University,MBA,95,,NY,Health,MBA,male,149509,32,1,0
Gay Men's Health Crisis,Kelsey Louie,6797518,2015,Health,NY,643896,4818398,210,298244,10647,1982,2013,male,Columbia University,MBA,95,,NY,Health,MBA,male,308891,33,2,0
Center for Reproductive Rights,Nancy Northup,27477486,2012,Human & Civil Rights,NY,2186396,8912049,108,362071,0,1992,2003,female,Columbia University,JD,95,,NY,Human & Civil Rights,JD,female,362071,20,9,0
Center for Reproductive Rights,Nancy Northup,17212570,2013,Human & Civil Rights,NY,2553172,11202203,125,393148,0,1992,2003,female,Columbia University,JD,95,,NY,Human & Civil Rights,JD,female,393148,21,10,0
Center for Reproductive Rights,Nancy Northup,15659112,2014,Human & Civil Rights,NY,2656062,12795226,132,425342,0,1992,2003,female,Columbia University,JD,95,,NY,Human & Civil Rights,JD,female,425342,22,11,0
Center for Reproductive Rights,Nancy Northup,8459375,2011,Human & Civil Rights,NY,1677338,7160327,50,335984,0,1992,2003,female,Columbia University,JD,95,,NY,Human & Civil Rights,JD,female,335984,19,8,0
ACLU Foundation,Anthony D. Romero,79581425,2014,Human & Civil Rights,NY,8096438,37912351,381,0,505381,1966,2001,male,Stanford University,JD,95,,NY,Human & Civil Rights,JD,male,505381,48,13,0
ACLU Foundation,Anthony D. Romero,64722436,2010,Human & Civil Rights,NY,5955561,28130454,277,342858,26362,1966,2001,male,Stanford University,JD,95,,NY,Human & Civil Rights,JD,male,369220,44,9,0
ACLU Foundation,Anthony D. Romero,58074573,2011,Human & Civil Rights,NY,7052902,31023307,269,382339,23882,1966,2001,male,Stanford University,JD,95,,NY,Human & Civil Rights,JD,male,406221,45,10,0
ACLU Foundation,Anthony D. Romero,55110331,2013,Human & Civil Rights,NY,7873025,37504660,335,0,497376,1966,2001,male,Stanford University,JD,95,,NY,Human & Civil Rights,JD,male,497376,47,12,0
ACLU Foundation,Anthony D. Romero,52043425,2012,Human & Civil Rights,NY,6774034,33446621,289,427523,0,1966,2001,male,Stanford University,JD,95,,NY,Human & Civil Rights,JD,male,427523,46,11,0
Exploratorium,Dennis Bartels,51575878,2012,Arts & Culture,CA,4564152,29561500,643,316361,37725,1969,2006,male,Stanford University,Ph.D,95,,CA,Arts & Culture,Ph.D,male,354086,43,6,0
Exploratorium,Dennis Bartels,44729382,2010,Arts & Culture,CA,3026201,23035944,552,289689,25216,1969,2006,male,Stanford University,Ph.D,95,,CA,Arts & Culture,Ph.D,male,314905,41,4,0
Exploratorium,Dennis Bartels,35317090,2013,Arts & Culture,CA,4314403,32714516,835,309746,36132,1969,2006,male,Stanford University,Ph.D,95,,CA,Arts & Culture,Ph.D,male,345878,44,7,0
Exploratorium,Dennis Bartels,28776622,2014,Arts & Culture,CA,4325534,32779267,886,445616,0,1969,2006,male,Stanford University,Ph.D,95,,CA,Arts & Culture,Ph.D,male,445616,45,8,0
Exploratorium,Dennis Bartels,27171284,2011,Arts & Culture,CA,3260084,26264747,625,301434,31330,1969,2006,male,Stanford University,Ph.D,95,,CA,Arts & Culture,Ph.D,male,332764,42,5,0
Wildlife Conservation Society,Steven E. Sanderson,159029948,2011,Animals,NY,6809949,91628076,2889,1163666,0,1895,2001,male,Stanford University,Ph.D,95,,NY,Animals,Ph.D,male,1163666,116,10,0
Wildlife Conservation Society,Steven E. Sanderson,127644476,2010,Animals,NY,7536698,88809950,2726,870642,0,1895,2001,male,Stanford University,Ph.D,95,,NY,Animals,Ph.D,male,870642,115,9,0
Wildlife Conservation Society,Steven E. Sanderson,124667120,2012,Animals,NY,9519936,97253287,2882,1007809,0,1895,2001,male,Stanford University,Ph.D,95,,NY,Animals,Ph.D,male,1007809,117,11,0
